country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United Arab Emirates,36,36,37,37,37,37,37,38,38,39,39,39,40,40,44,43,44,44,44,46,46,48,48,48,48,48,48,47,47,41,41,42,44,44,43,45,45,45,45,46,47,46,46,45
United Kingdom,79,80,80,80,80,83,84,83,84,84,83,84,84,84,84,85,84,84,84,84,84,84,85,85,88,90,86,86,86,86,87,87,87,87,87,83,83,90,81,81,81,82,84,82
United States,80,80,80,81,80,81,82,82,83,83,82,82,83,82,83,84,83,84,85,86,86,86,86,86,86,86,85,85,85,86,86,86,86,87,87,87,87,86,84,84,83,82,80,79
Uruguay,35,35,35,35,35,37,37,37,37,41,67,79,79,79,79,78,79,78,79,79,79,80,80,81,80,81,81,81,81,82,83,83,83,83,83,84,84,84,85,85,83,83,81,83
Uzbekistan,,,,,,,,,,,,,,,,,38,35,35,34,34,34,33,32,30,30,30,31,31,31,31,30,31,31,31,31,31,33,33,33,32,33,38,41
Venezuela,62,61,62,62,62,62,62,62,62,62,62,62,61,61,61,62,62,62,61,62,62,62,62,61,57,55,55,51,51,51,51,51,51,50,50,49,49,49,46,46,45,45,42,39
Vietnam,33,33,33,33,33,33,33,33,33,33,33,36,37,37,37,37,37,40,41,42,42,42,43,42,46,48,49,49,48,49,47,47,47,47,47,47,47,47,53,53,52,53,50,46
Yemen,28,29,29,27,26,26,26,27,27,27,27,27,27,27,28,34,37,37,37,36,36,36,36,35,35,35,35,35,36,36,36,36,36,36,36,36,36,41,41,35,23,24,22,27
Zambia,46,46,46,46,46,46,46,46,46,46,46,46,47,46,46,49,53,56,56,56,56,57,57,56,57,57,57,58,58,58,59,59,59,59,59,58,58,58,57,57,57,56,55,52
Zimbabwe,23,24,23,25,25,43,51,51,51,51,50,51,51,52,52,51,51,51,51,50,51,51,51,50,50,44,39,39,39,38,39,38,38,39,39,43,43,43,46,46,45,44,47,46
