country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ukraine,,,,,,,,,,,,,,,,,44,42,42,43,44,44,44,53,53,53,53,49,50,58,63,62,64,64,64,60,59,64,64,62,62,61,60,60
United Arab Emirates,8,8,8,8,8,8,8,8,8,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,13,13,19,19,26,32,32,32,32,37,36,36,36,37,37,37,39
United Kingdom,60,61,61,61,59,59,59,59,59,59,59,59,60,60,60,60,56,55,55,55,55,55,63,63,63,63,63,63,63,64,69,70,70,70,70,69,69,81,75,75,80,80,78,78
United States,51,53,53,53,53,58,58,62,62,61,61,62,62,61,63,63,63,67,72,72,72,74,74,74,74,75,72,72,72,72,72,73,73,76,76,81,81,81,74,76,76,74,69,69
Uruguay,40,40,40,40,40,40,40,40,40,42,58,58,58,58,55,53,53,53,53,57,57,57,57,57,56,56,56,56,56,64,64,64,64,64,66,70,70,70,69,74,68,68,69,67
Uzbekistan,,,,,,,,,,,,,,,,,44,44,44,42,42,44,44,44,48,48,48,48,48,51,51,51,51,51,52,52,52,49,51,51,50,51,52,49
Venezuela,44,44,44,45,45,45,45,45,46,48,48,48,48,50,51,51,51,51,50,50,50,50,50,52,60,62,62,62,62,62,64,66,66,66,66,66,66,66,67,67,67,67,68,67
Vietnam,61,61,61,61,61,61,60,60,60,60,60,62,61,61,61,61,61,60,60,60,60,60,61,61,61,61,61,61,61,61,61,61,64,64,64,64,64,65,59,60,60,60,60,58
Yemen,3,3,3,0,0,0,0,0,0,0,0,0,0,0,7,23,20,20,18,18,17,17,17,17,17,17,17,17,19,19,19,20,20,20,20,20,24,25,28,26,18,27,20,27
Zambia,37,37,37,36,36,36,36,36,36,36,36,36,36,37,38,41,38,42,42,43,43,46,46,46,46,49,53,53,53,53,52,52,52,52,51,52,51,52,51,51,51,56,57,57
Zimbabwe,12,12,12,12,12,38,43,43,43,43,43,44,44,44,44,45,44,44,44,44,45,45,45,45,45,43,44,44,44,44,45,45,45,45,45,45,45,45,51,50,50,50,51,50
